id,tier,tier_name,experiment,steered_property,direction_source,probe_rule,baseline_shape,baseline_measured,steering_mode,priority,gate,notes
T3-topic,3,lexical plan,Topic insertion,Reply works in a chosen topic (weather),freeform,keyword-family presence,near-zero,no,all,3,none,Plan-level but distributed through reply
T3-question,3,lexical plan,End with question,Reply ends with follow-up question,freeform,final char is '?',near-zero,yes,all,3,none,Plan for how to END; contrast with T1 immediacy
T4-compose,4,structure/strategy,Compositional edit,Archaic AND emoji in one direction,freeform,both probes move together,near-zero,no,all,2,T1-emoji and T2-archaic both succeed,Does one sentence carry two properties without interference
T4-graded,4,structure/strategy,Graded intensity,slightly vs extremely hedged phrasing,freeform,hedge count monotone in wording strength,distributed,no,all,2,T2-hedging succeeds,Is strength controllable through language rather than alpha
T4-passive,4,structure/strategy,Passive voice,was/were + participle constructions,freeform,regex passive patterns,low,yes,all,3,none,Grammatical structure not just word choice
T4-nouncaps,4,structure/strategy,Noun capitalization,Nouns Capitalized mid-sentence,freeform,count mid-sentence Title-Case words,distributed,yes,all,2,none,Research doc probe 4 flagged there as a hard case; probe counts capitalized words as a noun proxy without a POS tagger
T4-interp,4,structure/strategy,Direction interpolation,Blend emoji and archaic directions by weight t,freeform,emoji and archaic probes trade off monotonically in t,near-zero,no,all,2,T1-emoji and T2-archaic both succeed,Scope note bullet 3; within-concept interpolation reduces to alpha scaling so this blends two concept directions instead; contrast with T4-compose = language vs vector arithmetic composition
T5-selfref,5,stance/belief,Identity self-reference,Model names itself/its maker,freeform,count model-name/maker mentions,near-zero,no,all,3,prompt-elicitation check,Mild belief-tier probe that stays deterministic
T5-evalaware,5,stance/belief,Eval-awareness (Aaron redux),Model states it is being tested,verbalize-edit,count test/eval/graded phrase list,near-zero,no,position,3,prompt-elicitation check AND bottleneck check,Rerun WITH fidelity gates; failure informative if gates pass
T5-refusal,5,stance/belief,Refusal modulation,Refusal rate on borderline prompts,verbalize-edit,refusal-phrase list count,distributed,no,all,3,team+mentor sign-off; controlled eval only,SAFETY-GATED: discuss with McNair before running
